,Title,Link,Date,Summary,Thumbnail
16,"Preview Bergamo - Urania, prima gara ufficiale della stagione",http://www.uraniabasket.it/news/140909121030/preview-bergamo-urania-prima-gara-ufficiale-della-stagione,2020-10-10,Terminati gli scrimmage ecco il primo banco di prova da due punti per Urania. Derby lombardo a Bergamo per i Wildcats che apre il girone di...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_536800941269_1602352182730521.jpg
17,"Settore Giovanile, si fa sul serio!",http://www.uraniabasket.it/news/415787027974/settore-giovanile-si-fa-sul-serio,2020-10-09,Il Settore Giovanile di Urania sta cercando di tenere monitorata una situazine di emergenza che sta cambiando la prospettiva con repetina...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_124484080853_1602279341792205.jpg
18,Sentite Condoglianze,http://www.uraniabasket.it/news/3470167558/sentite-condoglianze,2020-10-09,Urania si stringe con un grande abbraccio al vice allenatore della Serie A2 Cece Riva ed a sua moglie Valentina per la scomparsa del suocero Albino....,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_17109898453_1599235578743402.jpg
19,Programma allenamenti 12-18 ottobre,http://www.uraniabasket.it/news/278348074502/programma-allenamenti-12-18-ottobre,2020-10-09,Siamo pronti a pubblicare il programma di allenamenti e amichevoli per quanto riguarda le squadre del Settore Giovanile Urania per la settimana che...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_21404865749_1602248752517129.jpg
20,Urania Under 14 ammessa al Campionato Elite,http://www.uraniabasket.it/news/261168205318/urania-under-14-ammessa-al-campionato-elite,2020-10-09,Con piacere comunichiamo che il Comitato Regionale della Lombardia ha accettato la richiesta di iscrizione al Campionato Under 14 Elite per il gruppo...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_296282772693_160224435446250.jpg
21,A.BRE.MAR Trademark Partner di Urania per la Stagione 20/21,http://www.uraniabasket.it/news/536046112262/a-bre-mar-trademark-partner-di-urania-per-la-stagione-20-21,2020-10-08,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con A.BRE.MAR per la Stagione...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_502441202901_160216989764743.png
22,Altro passo positivo verso la Supercoppa nello scrimmage con Biella,http://www.uraniabasket.it/news/123729251846/altro-passo-positivo-verso-la-supercoppa-nello-scrimmage-con-biella,2020-10-04,"Urania chiude in modo positivo il cammino di preparazione alla Supercoppa, primo turno in programma domenica a Bergamo. I Wildcats superano...",https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_450901595349_1601839604713142.png
23,Tucano è Accessories Partner di Urania per la Stagione 20/21,http://www.uraniabasket.it/news/398607158790/tucano-e-accessories-partner-di-urania-per-la-stagione-20-21,2020-10-02,Urania Basket Milano è lieta di annunciare l’inizio del rapporto di collaborazione con Tucano per la Stagione 2020/2021....,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_38584734933_1601653884590282.png
24,Programma allenamenti 5-11 ottobre,http://www.uraniabasket.it/news/192448728582/programma-allenamenti-5-11-ottobre,2020-10-02,Siamo pronti a pubblicare il nuovo programma allenamenti settimanale per quanto riguarda le squadre del Settore Giovanile Urania per la settimana che...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_313462641877_160163925873980.jpg
25,Secondo Test e altri segnali positivi in vista della Supercoppa,http://www.uraniabasket.it/news/467326635526/secondo-test-e-altri-segnali-positivi-in-vista-della-supercoppa,2020-10-01,Altro test di avvicinamento alla Supercoppa per Urania che regola la Robur et Fides Varese. Gara intensa e ricca di spunti interessanti per la truppa...,https://slyvi-tstorage.fra1.digitaloceanspaces.com/m0_tml1961376069377_519621072085_1601548031671712.png
